Column	Row	Name	ID	RefNumber	ControlType	GeneName	TopHit	Description	Go	ChromosomalLocation	EntrezGeneID
58	1	222546520_EZ002710.1_355-702	CUST_1_PI426266363	58	false		gi|222546520_EZ002710.1_355-702	Unknown		unmapped	
59	1	222793640_EZ022028.1_93-719	CUST_148_PI426265159	59	false		gi|222793640_EZ022028.1_93-719	Unknown		unmapped	
60	1	EZ029226.1	CUST_8_PI426247723	60	false		gb|EZ029226.1|gi|222800838	Unknown		unmapped	
61	1	222795487_EZ023875.1_24-955	CUST_1194_PI426227498	61	false		gi|222795487_EZ023875.1_24-955	Unknown		unmapped	
62	1	NA	NA	62	ignore	NA		Unknown		Unknown	
63	1	DQ309546_134_168	CUST_220_PI426266615	63	false		DQ309546_134_168	Unknown		unmapped	
64	1	222802077_EZ030465.1_111-845	CUST_23_PI426244589	64	false		gi|222802077_EZ030465.1_111-845	Unknown		unmapped	
65	1	222783756_EZ012416.1_45-498	CUST_240_PI426227486	65	false		gi|222783756_EZ012416.1_45-498	Unknown		unmapped	
66	1	222796352_EZ024740.1_15-701	CUST_79_PI426227495	66	false		gi|222796352_EZ024740.1_15-701	Unknown		unmapped	
67	1	NA	NA	67	ignore	NA		Unknown		Unknown	
68	1	NA	NA	68	ignore	NA		Unknown		Unknown	
69	1	222781845_EZ010516.1_21-1154	CUST_76_PI426266349	69	false		gi|222781845_EZ010516.1_21-1154	Unknown		unmapped	
70	1	222781461_EZ010132.1_140-790	CUST_29_PI426226825	70	false		gi|222781461_EZ010132.1_140-790	Unknown		unmapped	
71	1	222787202_EZ015674.1_334-807	CUST_100_PI426266274	71	false		gi|222787202_EZ015674.1_334-807	Unknown		unmapped	
72	1	222783851_EZ012511.1_237-1538	CUST_24_PI426227495	72	false		gi|222783851_EZ012511.1_237-1538	Unknown		unmapped	
73	1	AJ884909.1	CUST_63_PI426232937	73	false		emb|AJ884909.1|gi|87158424	Unknown		unmapped	
74	1	222801589_EZ029977.1_285-485	CUST_1423_PI426227498	74	false		gi|222801589_EZ029977.1_285-485	Unknown		unmapped	
75	1	NA	NA	75	ignore	NA		Unknown		Unknown	
76	1	AY149128.1	CUST_100_PI426232937	76	false		gb|AY149128.1|gi|23986368	Unknown		unmapped	
77	1	MGID_307_245_279	CUST_307_PI426266615	77	false		MGID_307_245_279	Unknown		unmapped	
78	1	222783589_EZ012252.1_74-1881	CUST_61_PI426266424	78	false		gi|222783589_EZ012252.1_74-1881	Unknown		unmapped	
79	1	NA	NA	79	ignore	NA		Unknown		Unknown	
80	1	DarkCorner	DarkCorner	80	pos	DarkCorner		Unknown		Unknown	
81	1	GE_BrightCorner	GE_BrightCorner	81	pos	GE_BrightCorner		Unknown		Unknown	
82	1	GE_BrightCorner	GE_BrightCorner	82	pos	GE_BrightCorner		Unknown		Unknown	
1	2	GE_BrightCorner	GE_BrightCorner	83	pos	GE_BrightCorner		Unknown		Unknown	
2	2	DarkCorner	DarkCorner	84	pos	DarkCorner		Unknown		Unknown	
3	2	NA	NA	85	ignore	NA		Unknown		Unknown	
4	2	222785840_EZ014322.1_5-214	CUST_48_PI426227495	86	false		gi|222785840_EZ014322.1_5-214	Unknown		unmapped	
5	2	AY149143.1	CUST_138_PI426232937	87	false		gb|AY149143.1|gi|23986461	Unknown		unmapped	
6	2	NA	NA	88	ignore	NA		Unknown		Unknown	
7	2	222791358_EZ019746.1_221-1492	CUST_131_PI426226825	89	false		gi|222791358_EZ019746.1_221-1492	Unknown		unmapped	
8	2	35210447_AB106686.1_71-1114	CUST_15_PI426232940	90	false		gi|35210447_AB106686.1_71-1114	Unknown		unmapped	
9	2	222801063_EZ029451.1_200-1511	CUST_1372_PI426227498	91	false		gi|222801063_EZ029451.1_200-1511	Unknown		unmapped	
10	2	NA	NA	92	ignore	NA		Unknown		Unknown	
11	2	222803011_EZ031399.1_25-600	CUST_94_PI426227495	93	false		gi|222803011_EZ031399.1_25-600	Unknown		unmapped	
12	2	NA	NA	94	ignore	NA		Unknown		Unknown	
13	2	222802228_EZ030616.1_44-575	CUST_495_PI426227486	95	false		gi|222802228_EZ030616.1_44-575	Unknown		unmapped	
14	2	222781598_EZ010269.1_58-1479	CUST_97_PI426226915	96	false		gi|222781598_EZ010269.1_58-1479	Unknown		unmapped	
15	2	AF007889_115_150	CUST_104_PI426266615	97	false		AF007889_115_150	Unknown		unmapped	
16	2	222782676_EZ011347.1_32-190	CUST_53_PI426264540	98	false		gi|222782676_EZ011347.1_32-190	Unknown		unmapped	
17	2	222785689_EZ014201.1_136-654	CUST_16_PI426266360	99	false		gi|222785689_EZ014201.1_136-654	Unknown		unmapped	
18	2	MGID_47_139_173	CUST_323_PI426266615	100	false		MGID_47_139_173	Unknown		unmapped	
19	2	222783742_EZ012402.1_2-685	CUST_91_PI426266271	101	false		gi|222783742_EZ012402.1_2-685	Unknown		unmapped	
20	2	222781256_EZ009927.1_707-841	CUST_425_PI426227498	102	false		gi|222781256_EZ009927.1_707-841	Unknown		unmapped	
21	2	NA	NA	103	ignore	NA		Unknown		Unknown	
22	2	222788032_EZ016504.1_512-943	CUST_129_PI426264540	104	false		gi|222788032_EZ016504.1_512-943	Unknown		unmapped	
23	2	E1A_r60_n11	(+)E1A_r60_n11	105	pos	(+)E1A_r60_n11		Unknown		Unknown	
24	2	222781269_EZ009940.1_1-720	CUST_6_PI426266278	106	false		gi|222781269_EZ009940.1_1-720	Unknown		unmapped	
25	2	NA	NA	107	ignore	NA		Unknown		Unknown	
26	2	222783569_EZ012232.1_9-197	CUST_234_PI426227486	108	false		gi|222783569_EZ012232.1_9-197	Unknown		unmapped	
27	2	222546277_EZ002467.1_458-1222	CUST_13_PI426266274	109	false		gi|222546277_EZ002467.1_458-1222	Unknown		unmapped	
28	2	222782718_EZ011389.1_495-671	CUST_21_PI426226903	110	false		gi|222782718_EZ011389.1_495-671	Unknown		unmapped	
29	2	222544499_EZ000689.1_53-478	CUST_1_PI426265162	111	false		gi|222544499_EZ000689.1_53-478	Unknown		unmapped	
30	2	222781761_EZ010432.1_88-660	CUST_4_PI426244593	112	false		gi|222781761_EZ010432.1_88-660	Unknown		unmapped	
31	2	AY149123.1	CUST_83_PI426232937	113	false		gb|AY149123.1|gi|23986346	Unknown		unmapped	
32	2	222545703_EZ001893.1_1369-1536	CUST_92_PI426227498	114	false		gi|222545703_EZ001893.1_1369-1536	Unknown		unmapped	
33	2	222783370_EZ012035.1_55-823	CUST_669_PI426227498	115	false		gi|222783370_EZ012035.1_55-823	Unknown		unmapped	
34	2	222788530_EZ017002.1_79-1225	CUST_132_PI426266317	116	false		gi|222788530_EZ017002.1_79-1225	Unknown		unmapped	
35	2	222796975_EZ025363.1_261-380	CUST_1252_PI426227498	117	false		gi|222796975_EZ025363.1_261-380	Unknown		unmapped	
36	2	222780605_EZ009276.1_640-1017	CUST_41_PI426264530	118	false		gi|222780605_EZ009276.1_640-1017	Unknown		unmapped	
37	2	222783397_EZ012062.1_990-1157	CUST_689_PI426227498	119	false		gi|222783397_EZ012062.1_990-1157	Unknown		unmapped	
38	2	NA	NA	120	ignore	NA		Unknown		Unknown	
39	2	222797612_EZ026000.1_103-264	CUST_12_PI426264527	121	false		gi|222797612_EZ026000.1_103-264	Unknown		unmapped	
40	2	222801268_EZ029656.1_145-1074	CUST_1394_PI426227498	122	false		gi|222801268_EZ029656.1_145-1074	Unknown		unmapped	
41	2	87116472_AB231900.1_58-1340	CUST_4_PI426227955	123	false		gi|87116472_AB231900.1_58-1340	Unknown		unmapped	
42	2	222785152_EZ013786.1_87-1855	CUST_861_PI426227498	124	false		gi|222785152_EZ013786.1_87-1855	Unknown		unmapped	
43	2	222793775_EZ022163.1_175-1266	CUST_138_PI426226915	125	false		gi|222793775_EZ022163.1_175-1266	Unknown		unmapped	
44	2	222798753_EZ027141.1_137-795	CUST_473_PI426227486	126	false		gi|222798753_EZ027141.1_137-795	Unknown		unmapped	
45	2	222781918_EZ010589.1_268-885	CUST_48_PI426265159	127	false		gi|222781918_EZ010589.1_268-885	Unknown		unmapped	
46	2	222797001_EZ025389.1_128-724	CUST_1261_PI426227498	128	false		gi|222797001_EZ025389.1_128-724	Unknown		unmapped	
47	2	222786617_EZ015089.1_1100-1585	CUST_98_PI426266424	129	false		gi|222786617_EZ015089.1_1100-1585	Unknown		unmapped	
48	2	222781484_EZ010155.1_143-853	CUST_494_PI426227498	130	false		gi|222781484_EZ010155.1_143-853	Unknown		unmapped	
49	2	NegativeControl	(-)3xSLv1	131	neg	(-)3xSLv1		Unknown		Unknown	
50	2	222801713_EZ030101.1_32-1581	CUST_43_PI426247733	132	false		gi|222801713_EZ030101.1_32-1581	Unknown		unmapped	
51	2	NA	NA	133	ignore	NA		Unknown		Unknown	
52	2	NA	NA	134	ignore	NA		Unknown		Unknown	
53	2	168989246_DQ483007.1_919-1035	CUST_28_PI426267032	135	false		gi|168989246_DQ483007.1_919-1035	Unknown		unmapped	
54	2	RC7	RC7	136	pos	RC7		Unknown		Unknown	
55	2	222779537_EZ008208.1_10-999	CUST_6_PI426266363	137	false		gi|222779537_EZ008208.1_10-999	Unknown		unmapped	
56	2	222779537_EZ008208.1_10-999	CUST_5_PI426266363	138	false		gi|222779537_EZ008208.1_10-999	Unknown		unmapped	
57	2	222779076_EZ007747.1_1265-1498	CUST_344_PI426227498	139	false		gi|222779076_EZ007747.1_1265-1498	Unknown		unmapped	
58	2	222785129_EZ013763.1_39-425	CUST_210_PI426246026	140	false		gi|222785129_EZ013763.1_39-425	Unknown		unmapped	
59	2	222781598_EZ010269.1_58-1479	CUST_97_PI426226915	141	false		gi|222781598_EZ010269.1_58-1479	Unknown		unmapped	
60	2	21303775_AY037766.1_181-946	CUST_57_PI426244603	142	false		gi|21303775_AY037766.1_181-946	Unknown		unmapped	
61	2	222799255_EZ027643.1_183-626	CUST_47_PI426266366	143	false		gi|222799255_EZ027643.1_183-626	Unknown		unmapped	
62	2	222786084_EZ014556.1_24-1498	CUST_982_PI426227498	144	false		gi|222786084_EZ014556.1_24-1498	Unknown		unmapped	
63	2	222546088_EZ002278.1_123-314	CUST_119_PI426227498	145	false		gi|222546088_EZ002278.1_123-314	Unknown		unmapped	
64	2	AJ884898.1	CUST_39_PI426232937	146	false		emb|AJ884898.1|gi|87158056	Unknown		unmapped	
65	2	222800265_EZ028653.1_28-1279	CUST_477_PI426227486	147	false		gi|222800265_EZ028653.1_28-1279	Unknown		unmapped	
66	2	NA	NA	148	ignore	NA		Unknown		Unknown	
67	2	NA	NA	149	ignore	NA		Unknown		Unknown	
68	2	AB209969.1	CUST_10_PI426244603	150	false		dbj|AB209969.1|gi|91754020	Unknown		unmapped	
69	2	NA	NA	151	ignore	NA		Unknown		Unknown	
70	2	222784398_EZ013056.1_103-819	CUST_49_PI426245467	152	false		gi|222784398_EZ013056.1_103-819	Unknown		unmapped	
71	2	222780605_EZ009276.1_240-416	CUST_36_PI426264530	153	false		gi|222780605_EZ009276.1_240-416	Unknown		unmapped	
72	2	NA	NA	154	ignore	NA		Unknown		Unknown	
73	2	222815137_EZ043524.1_39-401	CUST_30_PI426264530	155	false		gi|222815137_EZ043524.1_39-401	Unknown		unmapped	
74	2	222549092_EZ005005.1_23-250	CUST_7_PI426265162	156	false		gi|222549092_EZ005005.1_23-250	Unknown		unmapped	
75	2	222783502_EZ012165.1_20-454	CUST_15_PI426227495	157	false		gi|222783502_EZ012165.1_20-454	Unknown		unmapped	
76	2	222546156_EZ002346.1_402-779	CUST_138_PI426227498	158	false		gi|222546156_EZ002346.1_402-779	Unknown		unmapped	
77	2	222784662_EZ013304.1_7-249	CUST_156_PI426226825	159	false		gi|222784662_EZ013304.1_7-249	Unknown		unmapped	
78	2	222800544_EZ028932.1_160-309	CUST_483_PI426227486	160	false		gi|222800544_EZ028932.1_160-309	Unknown		unmapped	
79	2	222781510_EZ010181.1_31-889	CUST_43_PI426226978	161	false		gi|222781510_EZ010181.1_31-889	Unknown		unmapped	
80	2	DarkCorner	DarkCorner	162	pos	DarkCorner		Unknown		Unknown	
81	2	DarkCorner	DarkCorner	163	pos	DarkCorner		Unknown		Unknown	
82	2	GE_BrightCorner	GE_BrightCorner	164	pos	GE_BrightCorner		Unknown		Unknown	
1	3	DarkCorner	DarkCorner	165	pos	DarkCorner		Unknown		Unknown	
2	3	DarkCorner	DarkCorner	166	pos	DarkCorner		Unknown		Unknown	
3	3	222791975_EZ020363.1_97-207	CUST_114_PI426266274	167	false		gi|222791975_EZ020363.1_97-207	Unknown		unmapped	
4	3	NA	NA	168	ignore	NA		Unknown		Unknown	
5	3	222798750_EZ027138.1_49-1237	CUST_469_PI426227486	169	false		gi|222798750_EZ027138.1_49-1237	Unknown		unmapped	
6	3	NA	NA	170	ignore	NA		Unknown		Unknown	
7	3	222800344_EZ028732.1_139-447	CUST_480_PI426227486	171	false		gi|222800344_EZ028732.1_139-447	Unknown		unmapped	
8	3	NA	NA	172	ignore	NA		Unknown		Unknown	
9	3	222785034_EZ013668.1_73-501	CUST_127_PI426266271	173	false		gi|222785034_EZ013668.1_73-501	Unknown		unmapped	
10	3	168989229_DQ482990.1_50-928	CUST_13_PI426232931	174	false		gi|168989229_DQ482990.1_50-928	Unknown		unmapped	
11	3	222785152_EZ013786.1_87-1367	CUST_857_PI426227498	175	false		gi|222785152_EZ013786.1_87-1367	Unknown		unmapped	
12	3	222784662_EZ013304.1_7-249	CUST_156_PI426226825	176	false		gi|222784662_EZ013304.1_7-249	Unknown		unmapped	
13	3	222801996_EZ030384.1_31-1032	CUST_183_PI426266274	177	false		gi|222801996_EZ030384.1_31-1032	Unknown		unmapped	
14	3	NA	NA	178	ignore	NA		Unknown		Unknown	
15	3	222802720_EZ031108.1_310-486	CUST_1456_PI426227498	179	false		gi|222802720_EZ031108.1_310-486	Unknown		unmapped	
16	3	NA	NA	180	ignore	NA		Unknown		Unknown	
17	3	222785173_EZ013807.1_59-895	CUST_103_PI426266349	181	false		gi|222785173_EZ013807.1_59-895	Unknown		unmapped	
18	3	SedC(C9)_2_23_57	CUST_377_PI426266615	182	false		SedC(C9)_2_23_57	Unknown		unmapped	
19	3	222785061_EZ013695.1_54-1008	CUST_299_PI426227486	183	false		gi|222785061_EZ013695.1_54-1008	Unknown		unmapped	
20	3	222545219_EZ001409.1_825-1091	CUST_69_PI426226825	184	false		gi|222545219_EZ001409.1_825-1091	Unknown		unmapped	
21	3	222546777_EZ002967.1_773-910	CUST_182_PI426227498	185	false		gi|222546777_EZ002967.1_773-910	Unknown		unmapped	
22	3	NA	NA	186	ignore	NA		Unknown		Unknown	
23	3	71372562_DQ082986.1_358-522	CUST_108_PI426232940	187	false		gi|71372562_DQ082986.1_358-522	Unknown		unmapped	
24	3	222815137_EZ043524.1_39-401	CUST_28_PI426264530	188	false		gi|222815137_EZ043524.1_39-401	Unknown		unmapped	
25	3	222795287_EZ023675.1_16-846	CUST_10_PI426245463	189	false		gi|222795287_EZ023675.1_16-846	Unknown		unmapped	
26	3	NA	NA	190	ignore	NA		Unknown		Unknown	
27	3	222781649_EZ010320.1_48-401	CUST_5_PI426247733	191	false		gi|222781649_EZ010320.1_48-401	Unknown		unmapped	
28	3	FN646424.1	CUST_310_PI426232937	192	false		emb|FN646424.1|gi|306430562	Unknown		unmapped	
29	3	222799814_EZ028202.1_161-268	CUST_54_PI426226868	193	false		gi|222799814_EZ028202.1_161-268	Unknown		unmapped	
30	3	NA	NA	194	ignore	NA		Unknown		Unknown	
31	3	NA	NA	195	ignore	NA		Unknown		Unknown	
32	3	222783542_EZ012205.1_103-459	CUST_94_PI426266349	196	false		gi|222783542_EZ012205.1_103-459	Unknown		unmapped	
33	3	222549323_EZ005236.1_23-184	CUST_3_PI426226903	197	false		gi|222549323_EZ005236.1_23-184	Unknown		unmapped	
34	3	NA	NA	198	ignore	NA		Unknown		Unknown	
35	3	222785286_EZ013920.1_107-2264	CUST_876_PI426227498	199	false		gi|222785286_EZ013920.1_107-2264	Unknown		unmapped	
36	3	222800876_EZ029264.1_39-1280	CUST_484_PI426227486	200	false		gi|222800876_EZ029264.1_39-1280	Unknown		unmapped	
37	3	222549155_EZ005068.1_15-236	CUST_63_PI426227486	201	false		gi|222549155_EZ005068.1_15-236	Unknown		unmapped	
38	3	NA	NA	202	ignore	NA		Unknown		Unknown	
39	3	222781359_EZ010030.1_18-1577	CUST_432_PI426227498	203	false		gi|222781359_EZ010030.1_18-1577	Unknown		unmapped	
40	3	NA	NA	204	ignore	NA		Unknown		Unknown	
41	3	AY149122.1	CUST_75_PI426232937	205	false		gb|AY149122.1|gi|23986338	Unknown		unmapped	
42	3	222801996_EZ030384.1_2060-2179	CUST_198_PI426265159	206	false		gi|222801996_EZ030384.1_2060-2179	Unknown		unmapped	
43	3	222792350_EZ020738.1_63-1082	CUST_67_PI426227884	207	false		gi|222792350_EZ020738.1_63-1082	Unknown		unmapped	
44	3	AY149162.1	CUST_168_PI426232937	208	false		gb|AY149162.1|gi|23986573	Unknown		unmapped	
45	3	222783347_EZ012012.1_299-493	CUST_9_PI426226978	209	false		gi|222783347_EZ012012.1_299-493	Unknown		unmapped	
46	3	222791570_EZ019958.1_504-608	CUST_1162_PI426227498	210	false		gi|222791570_EZ019958.1_504-608	Unknown		unmapped	
47	3	222780720_EZ009391.1_206-481	CUST_401_PI426227498	211	false		gi|222780720_EZ009391.1_206-481	Unknown		unmapped	
48	3	222781256_EZ009927.1_861-1091	CUST_428_PI426227498	212	false		gi|222781256_EZ009927.1_861-1091	Unknown		unmapped	
49	3	222801892_EZ030280.1_1900-2052	CUST_1438_PI426227498	213	false		gi|222801892_EZ030280.1_1900-2052	Unknown		unmapped	
50	3	222801123_EZ029511.1_429-533	CUST_177_PI426265159	214	false		gi|222801123_EZ029511.1_429-533	Unknown		unmapped	
51	3	75858820	CUST_3_PI426266566	215	false		gi|75858820	Unknown		unmapped	
52	3	71372562_DQ082986.1_239-361	CUST_105_PI426232940	216	false		gi|71372562_DQ082986.1_239-361	Unknown		unmapped	
53	3	DY447310_337_371	CUST_238_PI426266615	217	false		DY447310_337_371	Unknown		unmapped	
54	3	222780720_EZ009391.1_154-1650	CUST_395_PI426227498	218	false		gi|222780720_EZ009391.1_154-1650	Unknown		unmapped	
55	3	222780720_EZ009391.1_154-588	CUST_396_PI426227498	219	false		gi|222780720_EZ009391.1_154-588	Unknown		unmapped	
56	3	222802765_EZ031153.1_183-554	CUST_15_PI426245467	220	false		gi|222802765_EZ031153.1_183-554	Unknown		unmapped	
57	3	222784675_EZ013315.1_474-761	CUST_121_PI426227893	221	false		gi|222784675_EZ013315.1_474-761	Unknown		unmapped	
58	3	NA	NA	222	ignore	NA		Unknown		Unknown	
59	3	NA	NA	223	ignore	NA		Unknown		Unknown	
60	3	DQ482993.1	CUST_246_PI426232937	224	false		gb|DQ482993.1|gi|168989232	Unknown		unmapped	
61	3	222781632	CUST_2_PI426265165	225	false		gi|222781632	Unknown		unmapped	
62	3	222801301_EZ029689.1_419-1269	CUST_66_PI426227896	226	false		gi|222801301_EZ029689.1_419-1269	Unknown		unmapped	
63	3	222788984_EZ017416.1_118-997	CUST_192_PI426264540	227	false		gi|222788984_EZ017416.1_118-997	Unknown		unmapped	
64	3	222781213_EZ009884.1_221-996	CUST_113_PI426227486	228	false		gi|222781213_EZ009884.1_221-996	Unknown		unmapped	
65	3	222791013_EZ019401.1_459-587	CUST_1126_PI426227498	229	false		gi|222791013_EZ019401.1_459-587	Unknown		unmapped	
66	3	MGID_22_113_147	CUST_289_PI426266615	230	false		MGID_22_113_147	Unknown		unmapped	
67	3	222793958_EZ022346.1_42-724	CUST_24_PI426266360	231	false		gi|222793958_EZ022346.1_42-724	Unknown		unmapped	
68	3	222784189_EZ012847.1_582-728	CUST_24_PI426266366	232	false		gi|222784189_EZ012847.1_582-728	Unknown		unmapped	
69	3	NA	NA	233	ignore	NA		Unknown		Unknown	
70	3	27372282_AB086878.1_600-725	CUST_6_PI426232937	234	false		gi|27372282_AB086878.1_600-725	Unknown		unmapped	
71	3	42760796_AB117374.1_154-492	CUST_27_PI426246026	235	false		gi|42760796_AB117374.1_154-492	Unknown		unmapped	
72	3	222784011_EZ012669.1_21-365	CUST_204_PI426246026	236	false		gi|222784011_EZ012669.1_21-365	Unknown		unmapped	
73	3	222785286_EZ013920.1_107-2264	CUST_875_PI426227498	237	false		gi|222785286_EZ013920.1_107-2264	Unknown		unmapped	
74	3	MGID_585_193_227	CUST_331_PI426266615	238	false		MGID_585_193_227	Unknown		unmapped	
75	3	NegativeControl	(-)3xSLv1	239	neg	(-)3xSLv1		Unknown		Unknown	
76	3	222784062_EZ012720.1_171-1669	CUST_26_PI426246029	240	false		gi|222784062_EZ012720.1_171-1669	Unknown		unmapped	
77	3	222781550_EZ010221.1_230-1609	CUST_45_PI426266274	241	false		gi|222781550_EZ010221.1_230-1609	Unknown		unmapped	
78	3	156571757_EU074223.1_555-719	CUST_132_PI426246026	242	false		gi|156571757_EU074223.1_555-719	Unknown		unmapped	
