ProbeID	TargetID	GeneSymbol	GeneName	Accessions	Description
CUST_249_PI426232937	DQ482993.1			gb|DQ482993.1|gi|168989232	Unknown
CUST_246_PI426232937	DQ482993.1			gb|DQ482993.1|gi|168989232	Unknown
CUST_15_PI426227955	DQ483012.1			gb|DQ483012.1|gi|168989251	Unknown
CUST_257_PI426232937	EU179715.1			gb|EU179715.1|gi|162945815	Unknown
CUST_258_PI426232937	EU179715.1			gb|EU179715.1|gi|162945815	Unknown
CUST_256_PI426232937	EU179715.1			gb|EU179715.1|gi|162945815	Unknown
CUST_261_PI426232937	EU179716.1			gb|EU179716.1|gi|162945817	Unknown
CUST_11_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_12_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_6_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_5_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_10_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_4_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_8_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_9_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_7_PI426247723	EZ029226.1			gb|EZ029226.1|gi|222800838	Unknown
CUST_2_PI426247723	EZ030342.1			gb|EZ030342.1|gi|222801954	Unknown
CUST_3_PI426247723	EZ030342.1			gb|EZ030342.1|gi|222801954	Unknown
CUST_1_PI426247723	EZ030342.1			gb|EZ030342.1|gi|222801954	Unknown
CUST_318_PI426232937	HM124366.1			gb|HM124366.1|gi|298570500	Unknown
CUST_321_PI426232937	HM156699.1			gb|HM156699.1|gi|300807384	Unknown
CUST_324_PI426232937	HM156699.1			gb|HM156699.1|gi|300807384	Unknown
CUST_327_PI426232937	L13613.1			gb|L13613.1|gi|431732	Unknown
CUST_329_PI426232937	U43532.1			gb|U43532.1|gi|1171207	Unknown
CUST_330_PI426232937	U43532.1			gb|U43532.1|gi|1171207	Unknown
CUST_328_PI426232937	U43532.1			gb|U43532.1|gi|1171207	Unknown
CUST_331_PI426232937	U43533.1			gb|U43533.1|gi|1171209	Unknown
CUST_332_PI426232937	U43533.1			gb|U43533.1|gi|1171209	Unknown
CUST_333_PI426232937	U43533.1			gb|U43533.1|gi|1171209	Unknown
CUST_2_PI426226915	AB086826.1			dbj|AB086826.1|gi|26522783	Unknown
CUST_3_PI426226915	AB086826.1			dbj|AB086826.1|gi|26522783	Unknown
CUST_1_PI426226915	AB086826.1			dbj|AB086826.1|gi|26522783	Unknown
CUST_6_PI426226915	AB118342.2			dbj|AB118342.2|gi|60391596	Unknown
CUST_9_PI426226915	AB118425.2			dbj|AB118425.2|gi|60391679	Unknown
CUST_12_PI426226915	AB118429.2			dbj|AB118429.2|gi|60391683	Unknown
CUST_11_PI426244603	AB209969.1			dbj|AB209969.1|gi|91754020	Unknown
CUST_10_PI426244603	AB209969.1			dbj|AB209969.1|gi|91754020	Unknown
CUST_15_PI426226915	AB441382.1			dbj|AB441382.1|gi|205345222	Unknown
CUST_18_PI426226915	AB441386.1			dbj|AB441386.1|gi|205345230	Unknown
CUST_31_PI426232937	AJ884897.1			emb|AJ884897.1|gi|87158054	Unknown
CUST_33_PI426232937	AJ884897.1			emb|AJ884897.1|gi|87158054	Unknown
CUST_30_PI426232937	AJ884897.1			emb|AJ884897.1|gi|87158054	Unknown
CUST_32_PI426232937	AJ884897.1			emb|AJ884897.1|gi|87158054	Unknown
CUST_42_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_38_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_45_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_37_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_36_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_39_PI426232937	AJ884898.1			emb|AJ884898.1|gi|87158056	Unknown
CUST_48_PI426232937	AJ884899.1			emb|AJ884899.1|gi|87158058	Unknown
CUST_50_PI426232937	AJ884899.1			emb|AJ884899.1|gi|87158058	Unknown
CUST_49_PI426232937	AJ884899.1			emb|AJ884899.1|gi|87158058	Unknown
CUST_51_PI426232937	AJ884899.1			emb|AJ884899.1|gi|87158058	Unknown
CUST_54_PI426232937	AJ884900.1			emb|AJ884900.1|gi|87158060	Unknown
CUST_52_PI426232937	AJ884900.1			emb|AJ884900.1|gi|87158060	Unknown
CUST_57_PI426232937	AJ884904.1			emb|AJ884904.1|gi|87158414	Unknown
CUST_55_PI426232937	AJ884904.1			emb|AJ884904.1|gi|87158414	Unknown
CUST_56_PI426232937	AJ884904.1			emb|AJ884904.1|gi|87158414	Unknown
CUST_59_PI426232937	AJ884905.1			emb|AJ884905.1|gi|87158416	Unknown
CUST_60_PI426232937	AJ884905.1			emb|AJ884905.1|gi|87158416	Unknown
CUST_58_PI426232937	AJ884905.1			emb|AJ884905.1|gi|87158416	Unknown
CUST_61_PI426232937	AJ884909.1			emb|AJ884909.1|gi|87158424	Unknown
CUST_63_PI426232937	AJ884909.1			emb|AJ884909.1|gi|87158424	Unknown
CUST_66_PI426232937	AJ884913.1			emb|AJ884913.1|gi|87158432	Unknown
CUST_64_PI426232937	AJ884913.1			emb|AJ884913.1|gi|87158432	Unknown
CUST_263_PI426232937	FN646412.1			emb|FN646412.1|gi|306430538	Unknown
CUST_262_PI426232937	FN646412.1			emb|FN646412.1|gi|306430538	Unknown
CUST_264_PI426232937	FN646412.1			emb|FN646412.1|gi|306430538	Unknown
CUST_267_PI426232937	FN646413.1			emb|FN646413.1|gi|306430540	Unknown
CUST_265_PI426232937	FN646413.1			emb|FN646413.1|gi|306430540	Unknown
CUST_268_PI426232937	FN646414.1			emb|FN646414.1|gi|306430542	Unknown
CUST_270_PI426232937	FN646414.1			emb|FN646414.1|gi|306430542	Unknown
CUST_269_PI426232937	FN646414.1			emb|FN646414.1|gi|306430542	Unknown
CUST_272_PI426232937	FN646415.1			emb|FN646415.1|gi|306430544	Unknown
CUST_271_PI426232937	FN646415.1			emb|FN646415.1|gi|306430544	Unknown
CUST_273_PI426232937	FN646415.1			emb|FN646415.1|gi|306430544	Unknown
CUST_276_PI426232937	FN646416.1			emb|FN646416.1|gi|306430546	Unknown
CUST_279_PI426232937	FN646417.1			emb|FN646417.1|gi|306430548	Unknown
CUST_282_PI426232937	FN646417.1			emb|FN646417.1|gi|306430548	Unknown
CUST_285_PI426232937	FN646418.1			emb|FN646418.1|gi|306430550	Unknown
CUST_284_PI426232937	FN646418.1			emb|FN646418.1|gi|306430550	Unknown
CUST_283_PI426232937	FN646418.1			emb|FN646418.1|gi|306430550	Unknown
CUST_294_PI426232937	FN646419.1			emb|FN646419.1|gi|306430552	Unknown
CUST_288_PI426232937	FN646419.1			emb|FN646419.1|gi|306430552	Unknown
CUST_291_PI426232937	FN646419.1			emb|FN646419.1|gi|306430552	Unknown
CUST_297_PI426232937	FN646420.1			emb|FN646420.1|gi|306430554	Unknown
CUST_300_PI426232937	FN646421.1			emb|FN646421.1|gi|306430556	Unknown
CUST_302_PI426232937	FN646422.1			emb|FN646422.1|gi|306430558	Unknown
CUST_303_PI426232937	FN646422.1			emb|FN646422.1|gi|306430558	Unknown
CUST_301_PI426232937	FN646422.1			emb|FN646422.1|gi|306430558	Unknown
CUST_306_PI426232937	FN646423.1			emb|FN646423.1|gi|306430560	Unknown
CUST_304_PI426232937	FN646423.1			emb|FN646423.1|gi|306430560	Unknown
CUST_305_PI426232937	FN646423.1			emb|FN646423.1|gi|306430560	Unknown
CUST_309_PI426232937	FN646423.1			emb|FN646423.1|gi|306430560	Unknown
CUST_312_PI426232937	FN646424.1			emb|FN646424.1|gi|306430562	Unknown
CUST_311_PI426232937	FN646424.1			emb|FN646424.1|gi|306430562	Unknown
CUST_310_PI426232937	FN646424.1			emb|FN646424.1|gi|306430562	Unknown
CUST_315_PI426232937	FN646425.1			emb|FN646425.1|gi|306430564	Unknown
CUST_314_PI426232937	FN646425.1			emb|FN646425.1|gi|306430564	Unknown
CUST_313_PI426232937	FN646425.1			emb|FN646425.1|gi|306430564	Unknown
CUST_15_PI426267032	109895125_DQ647776.1_101-739			gi|109895125_DQ647776.1_101-739	Unknown
CUST_14_PI426267032	109895125_DQ647776.1_101-739			gi|109895125_DQ647776.1_101-739	Unknown
CUST_13_PI426267032	109895125_DQ647776.1_101-739			gi|109895125_DQ647776.1_101-739	Unknown
CUST_126_PI426232940	117650137_EF036564.1_239-937			gi|117650137_EF036564.1_239-937	Unknown
CUST_129_PI426232940	117937764_EF036594.1_58-1338			gi|117937764_EF036594.1_58-1338	Unknown
CUST_127_PI426232940	117937764_EF036594.1_58-1338			gi|117937764_EF036594.1_58-1338	Unknown
CUST_130_PI426232940	119654707_EF036595.2_367-1338			gi|119654707_EF036595.2_367-1338	Unknown
CUST_132_PI426232940	119654707_EF036595.2_367-1338			gi|119654707_EF036595.2_367-1338	Unknown
CUST_131_PI426232940	119654707_EF036595.2_367-1338			gi|119654707_EF036595.2_367-1338	Unknown
CUST_504_PI426227486	122086255_AB289569.1_400-594			gi|122086255_AB289569.1_400-594	Unknown
CUST_1_PI426227893	124507305_EF363320.1_351-617			gi|124507305_EF363320.1_351-617	Unknown
CUST_3_PI426227893	124507305_EF363320.1_351-617			gi|124507305_EF363320.1_351-617	Unknown
CUST_6_PI426227893	124507317_EF363324.1_205-516			gi|124507317_EF363324.1_205-516	Unknown
CUST_7_PI426227893	124507317_EF363324.1_351-617			gi|124507317_EF363324.1_351-617	Unknown
CUST_9_PI426227893	124507317_EF363324.1_351-617			gi|124507317_EF363324.1_351-617	Unknown
CUST_12_PI426227893	124507323_EF363326.1_205-516			gi|124507323_EF363326.1_205-516	Unknown
CUST_15_PI426227893	124507323_EF363326.1_351-617			gi|124507323_EF363326.1_351-617	Unknown
CUST_13_PI426227893	124507323_EF363326.1_351-617			gi|124507323_EF363326.1_351-617	Unknown
CUST_19_PI426267032	133856037_EF133951.1_101-712			gi|133856037_EF133951.1_101-712	Unknown
CUST_20_PI426267032	133856037_EF133951.1_101-712			gi|133856037_EF133951.1_101-712	Unknown
CUST_21_PI426267032	133856037_EF133951.1_101-712			gi|133856037_EF133951.1_101-712	Unknown
CUST_24_PI426267032	133856039_EF133952.1_75-686			gi|133856039_EF133952.1_75-686	Unknown
CUST_22_PI426267032	133856039_EF133952.1_75-686			gi|133856039_EF133952.1_75-686	Unknown
CUST_23_PI426267032	133856039_EF133952.1_75-686			gi|133856039_EF133952.1_75-686	Unknown
CUST_6_PI426267032	133856041_EF133953.1_75-686			gi|133856041_EF133953.1_75-686	Unknown
CUST_4_PI426267032	133856041_EF133953.1_75-686			gi|133856041_EF133953.1_75-686	Unknown
CUST_5_PI426267032	133856041_EF133953.1_75-686			gi|133856041_EF133953.1_75-686	Unknown
CUST_12_PI426267032	133856043_EF133954.1_75-686			gi|133856043_EF133954.1_75-686	Unknown
CUST_11_PI426267032	133856043_EF133954.1_75-686			gi|133856043_EF133954.1_75-686	Unknown
CUST_10_PI426267032	133856043_EF133954.1_75-686			gi|133856043_EF133954.1_75-686	Unknown
CUST_8_PI426267032	133856045_EF133955.1_75-686			gi|133856045_EF133955.1_75-686	Unknown
CUST_7_PI426267032	133856045_EF133955.1_75-686			gi|133856045_EF133955.1_75-686	Unknown
CUST_9_PI426267032	133856045_EF133955.1_75-686			gi|133856045_EF133955.1_75-686	Unknown
CUST_16_PI426267032	133856047_EF133956.1_101-712			gi|133856047_EF133956.1_101-712	Unknown
CUST_18_PI426267032	133856047_EF133956.1_101-712			gi|133856047_EF133956.1_101-712	Unknown
CUST_17_PI426267032	133856047_EF133956.1_101-712			gi|133856047_EF133956.1_101-712	Unknown
CUST_42_PI426244603	15081471_AF401282.1_721-969			gi|15081471_AF401282.1_721-969	Unknown
CUST_44_PI426244603	15081471_AF401282.1_84-767			gi|15081471_AF401282.1_84-767	Unknown
CUST_43_PI426244603	15081471_AF401282.1_84-767			gi|15081471_AF401282.1_84-767	Unknown
CUST_45_PI426244603	15081471_AF401282.1_84-767			gi|15081471_AF401282.1_84-767	Unknown
CUST_62_PI426244603	15081471_AF401282.1_84-969			gi|15081471_AF401282.1_84-969	Unknown
CUST_61_PI426244603	15081471_AF401282.1_84-969			gi|15081471_AF401282.1_84-969	Unknown
CUST_63_PI426244603	15081471_AF401282.1_84-969			gi|15081471_AF401282.1_84-969	Unknown
CUST_14_PI426244603	154814309_EU035527.1_1-678			gi|154814309_EU035527.1_1-678	Unknown
CUST_13_PI426244603	154814309_EU035527.1_1-678			gi|154814309_EU035527.1_1-678	Unknown
CUST_15_PI426244603	154814309_EU035527.1_1-678			gi|154814309_EU035527.1_1-678	Unknown
CUST_129_PI426246026	156571757_EU074223.1_116-340			gi|156571757_EU074223.1_116-340	Unknown
CUST_132_PI426246026	156571757_EU074223.1_555-719			gi|156571757_EU074223.1_555-719	Unknown
CUST_4_PI426227881	157154649_EU022122.1_82-540			gi|157154649_EU022122.1_82-540	Unknown
CUST_6_PI426227881	157154649_EU022122.1_82-540			gi|157154649_EU022122.1_82-540	Unknown
CUST_5_PI426227881	157154649_EU022122.1_82-540			gi|157154649_EU022122.1_82-540	Unknown
CUST_8_PI426227881	157154655_EU022125.1_97-621			gi|157154655_EU022125.1_97-621	Unknown
CUST_7_PI426227881	157154655_EU022125.1_97-621			gi|157154655_EU022125.1_97-621	Unknown
CUST_9_PI426227881	157154655_EU022125.1_97-621			gi|157154655_EU022125.1_97-621	Unknown
CUST_3_PI426266360	157154661_EU022128.1_89-403			gi|157154661_EU022128.1_89-403	Unknown
CUST_1_PI426227495	158602804_EU069460.1_65-1018			gi|158602804_EU069460.1_65-1018	Unknown
CUST_3_PI426227495	158602804_EU069460.1_65-1018			gi|158602804_EU069460.1_65-1018	Unknown
CUST_2_PI426227495	158602804_EU069460.1_65-1018			gi|158602804_EU069460.1_65-1018	Unknown
CUST_12_PI426227881	159024327_EU116937.1_108-761			gi|159024327_EU116937.1_108-761	Unknown
CUST_15_PI426227881	159024327_EU116937.1_108-816			gi|159024327_EU116937.1_108-816	Unknown
CUST_13_PI426227881	159024327_EU116937.1_108-816			gi|159024327_EU116937.1_108-816	Unknown
CUST_14_PI426227881	159024327_EU116937.1_108-816			gi|159024327_EU116937.1_108-816	Unknown
CUST_18_PI426227881	159024327_EU116937.1_673-816			gi|159024327_EU116937.1_673-816	Unknown
CUST_133_PI426232940	160430742_EU130572.1_367-1338			gi|160430742_EU130572.1_367-1338	Unknown
CUST_135_PI426232940	160430742_EU130572.1_367-1338			gi|160430742_EU130572.1_367-1338	Unknown
CUST_134_PI426232940	160430742_EU130572.1_367-1338			gi|160430742_EU130572.1_367-1338	Unknown
CUST_136_PI426232940	160430743_EU130573.1_151-1338			gi|160430743_EU130573.1_151-1338	Unknown
CUST_138_PI426232940	160430743_EU130573.1_151-1338			gi|160430743_EU130573.1_151-1338	Unknown
CUST_137_PI426232940	160430743_EU130573.1_151-1338			gi|160430743_EU130573.1_151-1338	Unknown
CUST_141_PI426232940	160430744_EU130574.1_307-936			gi|160430744_EU130574.1_307-936	Unknown
CUST_21_PI426226915	163638893_EU303090.1_7-279			gi|163638893_EU303090.1_7-279	Unknown
CUST_22_PI426226915	163638929_EU303108.1_7-291			gi|163638929_EU303108.1_7-291	Unknown
CUST_23_PI426226915	163638929_EU303108.1_7-291			gi|163638929_EU303108.1_7-291	Unknown
CUST_27_PI426226915	163716524_EU312080.1_157-465			gi|163716524_EU312080.1_157-465	Unknown
CUST_33_PI426244603	16660127_AF383156.1_83-748			gi|16660127_AF383156.1_83-748	Unknown
CUST_31_PI426244603	16660127_AF383156.1_83-748			gi|16660127_AF383156.1_83-748	Unknown
CUST_32_PI426244603	16660127_AF383156.1_83-748			gi|16660127_AF383156.1_83-748	Unknown
CUST_3_PI426266430	168989224_DQ482985.1_1-1181			gi|168989224_DQ482985.1_1-1181	Unknown
CUST_2_PI426266430	168989224_DQ482985.1_1-1181			gi|168989224_DQ482985.1_1-1181	Unknown
CUST_1_PI426266430	168989224_DQ482985.1_1-1181			gi|168989224_DQ482985.1_1-1181	Unknown
CUST_2_PI426232931	168989226_DQ482987.1_38-217			gi|168989226_DQ482987.1_38-217	Unknown
CUST_3_PI426232931	168989226_DQ482987.1_38-217			gi|168989226_DQ482987.1_38-217	Unknown
CUST_1_PI426232931	168989226_DQ482987.1_38-217			gi|168989226_DQ482987.1_38-217	Unknown
CUST_4_PI426232931	168989226_DQ482987.1_543-794			gi|168989226_DQ482987.1_543-794	Unknown
CUST_6_PI426232931	168989226_DQ482987.1_543-794			gi|168989226_DQ482987.1_543-794	Unknown
CUST_5_PI426232931	168989226_DQ482987.1_543-794			gi|168989226_DQ482987.1_543-794	Unknown
CUST_9_PI426232931	168989227_DQ482988.1_22-357			gi|168989227_DQ482988.1_22-357	Unknown
CUST_8_PI426232931	168989227_DQ482988.1_22-357			gi|168989227_DQ482988.1_22-357	Unknown
CUST_7_PI426232931	168989227_DQ482988.1_22-357			gi|168989227_DQ482988.1_22-357	Unknown
CUST_11_PI426232931	168989227_DQ482988.1_284-421			gi|168989227_DQ482988.1_284-421	Unknown
CUST_12_PI426232931	168989227_DQ482988.1_284-421			gi|168989227_DQ482988.1_284-421	Unknown
CUST_10_PI426232931	168989227_DQ482988.1_284-421			gi|168989227_DQ482988.1_284-421	Unknown
CUST_1_PI426266569	168989228_DQ482989.1_3-553			gi|168989228_DQ482989.1_3-553	Unknown
CUST_3_PI426266569	168989228_DQ482989.1_3-553			gi|168989228_DQ482989.1_3-553	Unknown
CUST_2_PI426266569	168989228_DQ482989.1_3-553			gi|168989228_DQ482989.1_3-553	Unknown
CUST_14_PI426232931	168989229_DQ482990.1_50-928			gi|168989229_DQ482990.1_50-928	Unknown
CUST_15_PI426232931	168989229_DQ482990.1_50-928			gi|168989229_DQ482990.1_50-928	Unknown
CUST_13_PI426232931	168989229_DQ482990.1_50-928			gi|168989229_DQ482990.1_50-928	Unknown
CUST_16_PI426232931	168989233_DQ482994.1_719-1207			gi|168989233_DQ482994.1_719-1207	Unknown
CUST_18_PI426232931	168989233_DQ482994.1_719-1207			gi|168989233_DQ482994.1_719-1207	Unknown
CUST_17_PI426232931	168989233_DQ482994.1_719-1207			gi|168989233_DQ482994.1_719-1207	Unknown
CUST_17_PI426232934	168989234_DQ482995.1_304-477			gi|168989234_DQ482995.1_304-477	Unknown
CUST_18_PI426232934	168989234_DQ482995.1_304-477			gi|168989234_DQ482995.1_304-477	Unknown
CUST_16_PI426232934	168989234_DQ482995.1_304-477			gi|168989234_DQ482995.1_304-477	Unknown
CUST_20_PI426232934	168989234_DQ482995.1_501-704			gi|168989234_DQ482995.1_501-704	Unknown
CUST_21_PI426232934	168989234_DQ482995.1_501-704			gi|168989234_DQ482995.1_501-704	Unknown
CUST_19_PI426232934	168989234_DQ482995.1_501-704			gi|168989234_DQ482995.1_501-704	Unknown
CUST_21_PI426232931	168989236_DQ482997.1_30-965			gi|168989236_DQ482997.1_30-965	Unknown
CUST_19_PI426232931	168989236_DQ482997.1_30-965			gi|168989236_DQ482997.1_30-965	Unknown
CUST_20_PI426232931	168989236_DQ482997.1_30-965			gi|168989236_DQ482997.1_30-965	Unknown
CUST_3_PI426227951	168989238_DQ482999.1_75-854			gi|168989238_DQ482999.1_75-854	Unknown
CUST_1_PI426227951	168989238_DQ482999.1_75-854			gi|168989238_DQ482999.1_75-854	Unknown
CUST_2_PI426227951	168989238_DQ482999.1_75-854			gi|168989238_DQ482999.1_75-854	Unknown
CUST_114_PI426232940	168989240_DQ483001.1_47-913			gi|168989240_DQ483001.1_47-913	Unknown
CUST_117_PI426232940	168989241_DQ483002.1_36-1382			gi|168989241_DQ483002.1_36-1382	Unknown
CUST_1_PI426267032	168989242_DQ483003.1_38-1426			gi|168989242_DQ483003.1_38-1426	Unknown
CUST_2_PI426267032	168989242_DQ483003.1_38-1426			gi|168989242_DQ483003.1_38-1426	Unknown
CUST_3_PI426267032	168989242_DQ483003.1_38-1426			gi|168989242_DQ483003.1_38-1426	Unknown
CUST_120_PI426232940	168989245_DQ483006.1_64-408			gi|168989245_DQ483006.1_64-408	Unknown
CUST_123_PI426232940	168989245_DQ483006.1_83-307			gi|168989245_DQ483006.1_83-307	Unknown
CUST_39_PI426267032	168989246_DQ483007.1_29-1035			gi|168989246_DQ483007.1_29-1035	Unknown
