ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
CUST_503_PI426227498	222781507_EZ010178.1_1220-1528												
CUST_268_PI426232937	FN646414.1												
CUST_305_PI426227498	222551263_EZ007176.1_28-288												
CUST_117_PI426232940	168989241_DQ483002.1_36-1382												
CUST_233_PI426266615	DT620213_189_223												
CUST_61_PI426246032	222787354_EZ015826.1_18-718												
CUST_28_PI426226825	222781461_EZ010132.1_140-790												
CUST_80_PI426264540	222800597_EZ028985.1_144-764												
CUST_55_PI426266311	222785023_EZ013657.1_5-232												
CUST_38_PI426244589	222779072_EZ007743.1_277-486												
CUST_1168_PI426227498	222792017_EZ020405.1_78-1271												
CUST_51_PI426265159	222782102_EZ010773.1_37-213												
CUST_113_PI426266615	AF245689_270_304												
CUST_388_PI426266615	U60604_123_157												
CUST_389_PI426266615	U60604_123_157												
CUST_271_PI426266615	MGID_114_199_233												
CUST_176_PI426266615	CV181079_129_163												
CUST_56_PI426227498	222545331_EZ001521.1_900-1013												
CUST_349_PI426227486	222786690_EZ015162.1_59-1033												
CUST_274_PI426227486	222784392_EZ013050.1_13-553												
CUST_7_PI426244593	222781761_EZ010432.1_983-1180												
CUST_228_PI426246026	222793662_EZ022050.1_977-1162												
CUST_108_PI426266615	AF013738_105_139												
CUST_373_PI426266615	SedC(C9)_1_17_51												
CUST_79_PI426227884	222801530_EZ029918.1_46-933												
CUST_251_PI426266615	Hsp27_cont(B1)_17_51												
CUST_62_PI426244603	15081471_AF401282.1_84-969												
CUST_260_PI426227486	222784087_EZ012745.1_67-1629												
CUST_37_PI426266366	222785330_EZ013964.1_27-427												
CUST_4_PI426226825	222784709_EZ013347.1_552-1409												
CUST_80_PI426266349	222781845_EZ010516.1_21-1517												
CUST_6_PI426244603	78059173_DQ206391.1_1-663												
CUST_159_PI426226915	222803147_EZ031535.1_425-535												
CUST_78_PI426226915	222547212_EZ003125.1_51-233												
CUST_395_PI426266615	PU_cope(17A)_F												
CUST_27_PI426266349	222545310_EZ001500.1_657-995												
CUST_203_PI426265159	222801996_EZ030384.1_31-1032												
CUST_195_PI426264540	222795350_EZ023738.1_511-1316												
CUST_177_PI426227893	222796248_EZ024636.1_21-200												
CUST_99_PI426226825	222544624_EZ000814.1_1333-1458												
CUST_204_PI426246026	222784011_EZ012669.1_21-365												
CUST_755_PI426227498	222784364_EZ013022.1_71-631												
CUST_161_PI426227498	222546521_EZ002711.1_882-998												
CUST_32_PI426265162	222788957_EZ017389.1_267-1179												
CUST_9_PI426244593	222781761_EZ010432.1_983-1180												
CUST_213_PI426232940	288950280_GQ501351.1_22-495												
CUST_496_PI426227486	222802354_EZ030742.1_20-439												
CUST_1_PI426264527	193081165_EU717908.1_232-588												
CUST_398_PI426227498	222780720_EZ009391.1_154-588												
CUST_155_PI426227498	222546486_EZ002676.1_1118-1225												
CUST_364_PI426266615	PU_cope(17B)_133_167												
CUST_180_PI426232940	288950268_GQ501339.1_4-432												
CUST_856_PI426227498	222785152_EZ013786.1_1742-1855												
CUST_145_PI426265159	222793640_EZ022028.1_93-1177												
CUST_72_PI426264540	222783123_EZ011792.1_972-1112												
CUST_112_PI426265159	222792443_EZ020831.1_11-624												
CUST_599_PI426227498	222782876_EZ011547.1_76-632												
CUST_608_PI426227498	222783048_EZ011717.1_15-134												
CUST_393_PI426227498	222780720_EZ009391.1_154-1650												
CUST_57_PI426244589	222794710_EZ023098.1_17-1640												
CUST_156_PI426246026	222548431_EZ004344.1_136-240												
CUST_93_PI426265159	222785724_EZ014222.1_405-524												
CUST_58_PI426246032	222787354_EZ015826.1_437-718												
CUST_26_PI426244603	199581450_EU709809.1_1-696												
CUST_9_PI426244603	78059147_DQ206378.1_1-666												
CUST_36_PI426244589	222779072_EZ007743.1_534-677												
CUST_1_PI426266569	168989228_DQ482989.1_3-553												
CUST_264_PI426227486	222784098_EZ012756.1_161-715												
CUST_353_PI426227498	222779076_EZ007747.1_43-1498												
CUST_287_PI426266615	MGID_213_111_145												
CUST_13_PI426244589	222546496_EZ002686.1_1083-1574												
CUST_162_PI426266274	222801296_EZ029684.1_74-1424												
CUST_387_PI426227486	222790003_EZ018435.1_3-997												
CUST_72_PI426226915	222546088_EZ002278.1_587-775												
CUST_504_PI426227498	222781507_EZ010178.1_531-869												
CUST_24_PI426267032	133856039_EF133952.1_75-686												
CUST_225_PI426232937	AY160088.1												
CUST_1_PI426266572	168989250_DQ483011.1_13-597												
CUST_102_PI426246026	4416239_AF099654.1_586-693												
CUST_1_PI426227495	158602804_EU069460.1_65-1018												
CUST_37_PI426266363	222784240_EZ012898.1_174-1431												
CUST_316_PI426266615	MGID_373_177_211												
CUST_70_PI426266274	222782619_EZ011290.1_69-596												
CUST_18_PI426266424	222547932_EZ003845.1_77-220												
CUST_99_PI426226868	222781748_EZ010419.1_1307-1507												
CUST_99_PI426232937	AY149128.1												
CUST_504_PI426227486	122086255_AB289569.1_400-594												
CUST_408_PI426227486	222792706_EZ021094.1_124-1740												
CUST_9_PI426266317	222780620_EZ009291.1_295-426												
CUST_1147_PI426227498	222791541_EZ019929.1_237-341												
CUST_388_PI426227486	222790544_EZ018932.1_1-1047												
CUST_17_PI426247730	222793861_EZ022249.1_60-1502												
CUST_93_PI426264540	222545222_EZ001412.1_874-978												
CUST_177_PI426265159	222801123_EZ029511.1_429-533												
CUST_377_PI426227498	222779661_EZ008332.1_76-1186												
CUST_103_PI426245467	222784398_EZ013056.1_103-1263												
CUST_228_PI426232937	AY160089.1												
CUST_258_PI426266615	Hsp90(1)8_133_168												
CUST_1037_PI426227498	222787573_EZ016045.1_67-1454												
CUST_259_PI426227486	222784087_EZ012745.1_67-1629												
CUST_21_PI426227486	222547657_EZ003570.1_86-259												
CUST_316_PI426227486	222785364_EZ013998.1_58-988												
CUST_189_PI426232940	288950271_GQ501342.1_22-492												
CUST_103_PI426266615	AF007889_115_150												
CUST_75_PI426227486	222550239_EZ006152.1_21-245												
CUST_144_PI426232940	220172152_FJ529534.1_153-302												
CUST_28_PI426265162	222786596_EZ015068.1_80-292												
CUST_20_PI426267032	133856037_EF133951.1_101-712												
CUST_270_PI426232937	FN646414.1												
CUST_10_PI426232934	62767032_AY916504.1_495-665												
CUST_130_PI426266349	222785618_EZ014130.1_70-899												
CUST_290_PI426266615	MGID_22_113_147												
CUST_144_PI426227486	222782218_EZ010889.1_2-662												
CUST_15_PI426266317	222780620_EZ009291.1_56-426												
CUST_149_PI426266615	AY360081_1055_1089												
CUST_151_PI426226915	222802688_EZ031076.1_33-539												
CUST_37_PI426232931	300807382_HM156698.1_751-939												
CUST_192_PI426226825	222783480_EZ012143.1_333-1063												
CUST_72_PI426227893	222782842_EZ011513.1_36-887												
CUST_386_PI426227486	222790003_EZ018435.1_3-997												
CUST_112_PI426266271	222784918_EZ013552.1_307-1317												
CUST_138_PI426266349	222785892_EZ014374.1_19-450												
CUST_200_PI426232937	AY160084.1												
CUST_12_PI426267032	133856043_EF133954.1_75-686												
CUST_88_PI426266615	Ac_5_118_154												
CUST_235_PI426232940	288950295_GQ501366.1_22-351												
CUST_120_PI426226868	222785886_EZ014368.1_120-450												
CUST_17_PI426265162	222781459_EZ010130.1_59-1552												
CUST_78_PI426227893	222783284_EZ011951.1_1493-1654												
CUST_153_PI426232940	220172164_FJ529540.1_302-931												
CUST_13_PI426266267	222799393_EZ027781.1_91-225												
CUST_620_PI426227498	222783071_EZ011740.1_76-1174												
CUST_447_PI426227486	222796874_EZ025262.1_456-602												
CUST_196_PI426232940	288950275_GQ501346.1_22-447												
CUST_18_PI426232937	AF298221.1												
CUST_12_PI426227890	222544635_EZ000825.1_899-1219												
CUST_16_PI426264527	222792000_EZ020388.1_1-108												
CUST_3_PI426246026	42760650_AB117301.1_154-492												
CUST_70_PI426226825	222780613_EZ009284.1_154-1074												
CUST_66_PI426266360	222800253_EZ028641.1_101-823												
CUST_548_PI426227498	222782460_EZ011131.1_53-384												
CUST_15_PI426227486	222547154_EZ003067.1_109-216												
CUST_84_PI426232940	32454982_AY314974.1_90-1133												
CUST_186_PI426227486	222782844_EZ011515.1_156-1603												
CUST_184_PI426264540	222788014_EZ016486.1_194-515												
CUST_176_PI426227498	222546777_EZ002967.1_414-530												
CUST_20_PI426227495	222783568_EZ012231.1_105-683												
CUST_112_PI426264540	222802716_EZ031104.1_887-1450												
CUST_106_PI426226868	222781748_EZ010419.1_2118-2279												
CUST_61_PI426266424	222783589_EZ012252.1_74-1881												
CUST_1180_PI426227498	222795206_EZ023594.1_1033-1152												
CUST_75_PI426265159	222784423_EZ013079.1_153-407												
CUST_58_PI426226825	222781442_EZ010113.1_124-636												
CUST_10_PI426247733	222801713_EZ030101.1_1420-1581												
CUST_186_PI426227893	222796822_EZ025210.1_1037-1156												
CUST_1447_PI426227498	222801892_EZ030280.1_509-2523												
CUST_29_PI426247733	222796336_EZ024724.1_54-827												
CUST_49_PI426227498	222545271_EZ001461.1_170-571												
CUST_250_PI426227486	222783941_EZ012599.1_28-520												
CUST_164_PI426232940	288950263_GQ501334.1_22-495												
CUST_381_PI426227486	222789553_EZ017985.1_309-605												
CUST_221_PI426227486	222783343_EZ012008.1_7-458												
CUST_955_PI426227498	222785786_EZ014268.1_402-635												
CUST_16_PI426264530	222783456_EZ012119.1_102-389												
CUST_1338_PI426227498	222800230_EZ028618.1_102-596												
CUST_1088_PI426227498	222789249_EZ017681.1_596-1108												
CUST_77_PI426227498	222545588_EZ001778.1_1150-1257												
CUST_1139_PI426227498	222791339_EZ019727.1_132-1274												
CUST_40_PI426227884	222782932_EZ011603.1_98-1249												
CUST_267_PI426227486	222784147_EZ012805.1_180-491												
CUST_19_PI426226825	222782249_EZ010920.1_470-943												
CUST_124_PI426266615	AF507185_15_52												
CUST_79_PI426227495	222796352_EZ024740.1_15-701												
CUST_120_PI426266424	222794837_EZ023225.1_315-572												
CUST_53_PI426266271	222781877_EZ010548.1_323-883												
CUST_3_PI426266366	222546520_EZ002710.1_355-702												
CUST_283_PI426232940	288950312_GQ501383.1_22-465												
CUST_138_PI426226915	222793775_EZ022163.1_175-1266												
CUST_117_PI426245467	222794281_EZ022669.1_24-412												
CUST_122_PI426227486	222781701_EZ010372.1_140-679												
CUST_109_PI426226868	222544529_EZ000719.1_107-442												
CUST_4_PI426266267	6088081_AB033198.1_39-647												
CUST_6_PI426247733	222781649_EZ010320.1_48-401												
CUST_49_PI426266317	222781411_EZ010082.1_8-761												
CUST_130_PI426227486	222781892_EZ010563.1_159-708												
CUST_257_PI426232937	EU179715.1												
CUST_20_PI426247733	222791528_EZ019916.1_836-949												
CUST_518_PI426227498	222781625_EZ010296.1_93-938												
CUST_10_PI426244589	222546129_EZ002319.1_1845-2030												
CUST_63_PI426266274	222782421_EZ011092.1_71-301												
CUST_96_PI426266317	222785320_EZ013954.1_57-410												
CUST_52_PI426227498	222545271_EZ001461.1_776-1624												
CUST_114_PI426226868	222781748_EZ010419.1_278-2279												
CUST_490_PI426227486	222801617_EZ030005.1_56-958												
CUST_24_PI426266615	Ac_1_13_47												
CUST_21_PI426266271	222547103_EZ003016.1_36-227												
CUST_101_PI426264540	222799525_EZ027913.1_993-1520												
CUST_234_PI426266615	DT620213_189_223												
CUST_33_PI426264540	222788984_EZ017416.1_118-282												
CUST_104_PI426227498	222545703_EZ001893.1_498-632												
CUST_316_PI426232940	288950324_GQ501395.1_22-444												
CUST_1465_PI426227498	222803129_EZ031517.1_120-1378												
CUST_74_PI426227884	222801530_EZ029918.1_1135-1245												
CUST_1120_PI426227498	222790385_EZ018773.1_2630-2872												
CUST_1300_PI426227498	222798715_EZ027103.1_27-578												
CUST_306_PI426266615	MGID_30_119_153												
CUST_304_PI426266615	MGID_30_119_153												
CUST_36_PI426232940	31505720_AY289696.1_88-912												
CUST_768_PI426227498	222784433_EZ013087.1_50-964												
CUST_105_PI426226868	222781748_EZ010419.1_786-1307												
CUST_19_PI426264527	222792000_EZ020388.1_166-462												
CUST_13_PI426227495	222783502_EZ012165.1_20-454												
CUST_11_PI426266278	222783434_EZ012097.1_86-1206												
CUST_2_PI426247730	222782815_EZ011486.1_97-312												
CUST_328_PI426266615	MGID_578_169_205												
CUST_20_PI426266366	222784189_EZ012847.1_55-822												
CUST_20_PI426244597	222784716_EZ013354.1_98-400												
CUST_57_PI426266360	222800253_EZ028641.1_1205-1354												
CUST_360_PI426266615	MGID_991_101_135												
CUST_24_PI426264530	222549313_EZ005226.1_165-266												
CUST_965_PI426227498	222785811_EZ014293.1_64-1033												
CUST_189_PI426227486	222782846_EZ011517.1_118-641												
CUST_63_PI426226978	222799104_EZ027492.1_46-1136												
CUST_28_PI426266363	222784240_EZ012898.1_1010-1189												
CUST_220_PI426227486	222783343_EZ012008.1_7-458												
CUST_204_PI426232937	AY160085.1												
CUST_18_PI426245467	222802765_EZ031153.1_1737-1922												
CUST_81_PI426226915	222548692_EZ004605.1_3-305												
CUST_410_PI426227486	222792931_EZ021319.1_133-1241												
CUST_184_PI426226825	222779472_EZ008143.1_101-819												
CUST_97_PI426226915	222781598_EZ010269.1_58-1479												
CUST_2_PI426266363	222546520_EZ002710.1_355-702												
CUST_1291_PI426227498	222798442_EZ026830.1_88-1602												
CUST_138_PI426266274	222795822_EZ024210.1_54-616												
CUST_120_PI426265159	222793564_EZ021952.1_15-1564												
CUST_136_PI426226868	222546465_EZ002655.1_453-1463												
CUST_350_PI426266615	MGID_9_103_137												
CUST_91_PI426266271	222783742_EZ012402.1_2-685												
CUST_5_PI426266433	2677833_AF020781.1_156-668												
CUST_376_PI426227498	222779661_EZ008332.1_76-1186												
CUST_159_PI426227893	222792472_EZ020860.1_1364-1468												
CUST_1016_PI426227498	222787221_EZ015693.1_27-1498												
CUST_141_PI426266317	222789661_EZ018093.1_132-571												
CUST_17_PI426227486	222547507_EZ003420.1_40-279												
CUST_32_PI426267032	168989246_DQ483007.1_29-247												
CUST_30_PI426266274	222549495_EZ005408.1_8-226												
CUST_382_PI426266615	SpkCtrl:												
CUST_96_PI426266274	222787202_EZ015674.1_1226-1375												
CUST_330_PI426266615	MGID_578_169_205												
CUST_57_PI426232937	AJ884904.1												
CUST_22_PI426264527	222550773_EZ006686.1_27-263												
CUST_33_PI426266349	222545986_EZ002176.1_867-1154												
CUST_35_PI426267032	168989246_DQ483007.1_736-840												
CUST_111_PI426264540	222802716_EZ031104.1_202-924												
CUST_562_PI426227498	222782567_EZ011238.1_156-866												
CUST_60_PI426245467	222781026_EZ009697.1_444-659												
CUST_198_PI426264540	222799525_EZ027913.1_62-1520												
CUST_461_PI426227498	222781456_EZ010127.1_1351-1524												
CUST_1398_PI426227498	222801268_EZ029656.1_145-1299												
CUST_66_PI426264540	222783123_EZ011792.1_480-737												
CUST_258_PI426232940	288950303_GQ501374.1_172-438												
CUST_72_PI426226825	222780613_EZ009284.1_154-1074												
CUST_412_PI426227486	222793116_EZ021504.1_29-799												
CUST_145_PI426266274	222799455_EZ027843.1_48-728												
CUST_11_PI426226868	222784869_EZ013503.1_9-887												
CUST_5_PI426226868	222781545_EZ010216.1_149-826												
CUST_401_PI426227486	222791926_EZ020314.1_98-730												
CUST_167_PI426227498	222546708_EZ002898.1_363-557												
CUST_348_PI426227486	222786551_EZ015023.1_46-198												
CUST_14_PI426245463	222798880_EZ027268.1_1152-1319												
CUST_21_PI426244589	222545349_EZ001539.1_30-926												
CUST_134_PI426232937	AY149142.1												
CUST_152_PI426266615	AY500892_1204_1238												
CUST_1231_PI426227498	222796418_EZ024806.1_205-606												
CUST_2_PI426245463	209867519_EU785981.1_1-1134												
CUST_99_PI426265159	222788903_EZ017335.1_238-621												
CUST_283_PI426227486	222784943_EZ013577.1_4-1195												
CUST_192_PI426232940	288950272_GQ501343.1_22-477												
CUST_12_PI426246029	222781866_EZ010537.1_121-495												
CUST_99_PI426227486	222779052_EZ007723.1_24-1263												
CUST_99_PI426245467	222781026_EZ009697.1_19-972												
CUST_23_PI426266278	222784688_EZ013328.1_202-1026												
CUST_17_PI426246029	222784062_EZ012720.1_171-440												
CUST_138_PI426232937	AY149143.1												
CUST_106_PI426226915	222782614_EZ011285.1_56-748												
CUST_7_PI426227893	124507317_EF363324.1_351-617												
CUST_26_PI426265162	222784850_EZ013484.1_32-247												
CUST_13_PI426244597	222784716_EZ013354.1_1908-2018												
CUST_72_PI426246032	222798016_EZ026404.1_34-932												
CUST_1039_PI426227498	222787573_EZ016045.1_67-1454												
CUST_83_PI426266615	Ac_31_152_190												
CUST_866_PI426227498	222785286_EZ013920.1_1248-1967												
CUST_14_PI426244597	222784716_EZ013354.1_1908-2018												
CUST_64_PI426246032	222788896_EZ017328.1_70-703												
CUST_231_PI426232940	288950286_GQ501357.1_7-480												
CUST_27_PI426265159	222549801_EZ005714.1_20-262												
CUST_238_PI426227486	222783756_EZ012416.1_45-498												
CUST_15_PI426227881	159024327_EU116937.1_108-816												
CUST_315_PI426232940	288950323_GQ501394.1_22-495												
CUST_469_PI426227498	222781456_EZ010127.1_144-1767												
CUST_123_PI426227893	222784675_EZ013315.1_474-761												
CUST_21_PI426227890	222545666_EZ001856.1_38-259												
CUST_29_PI426266349	222545986_EZ002176.1_158-409												
CUST_10_PI426245467	222785719_EZ014217.1_32-1030												
CUST_51_PI426266360	222799487_EZ027875.1_845-1048												
CUST_976_PI426227498	222786084_EZ014556.1_1373-1498												
CUST_42_PI426232940	31505724_AY289698.1_88-912												
CUST_159_PI426266274	222801296_EZ029684.1_520-948												
CUST_3_PI426232940	35210437_AB106681.1_32-901												
CUST_132_PI426226825	222791358_EZ019746.1_221-1492												
CUST_997_PI426227498	222786667_EZ015139.1_8-220												
CUST_267_PI426232937	FN646413.1												
CUST_125_PI426226868	222799814_EZ028202.1_161-845												
CUST_219_PI426226825	222801086_EZ029474.1_140-1724												
CUST_87_PI426264540	222546763_EZ002953.1_781-1110												
CUST_28_PI426266349	222545986_EZ002176.1_158-409												
CUST_311_PI426227486	222785274_EZ013908.1_61-1240												
CUST_378_PI426266615	SedC(C9)_2_23_57												
CUST_301_PI426266615	MGID_293_110_145												
CUST_196_PI426266615	DN252355_109_146												
CUST_63_PI426266317	222782121_EZ010792.1_79-1561												
CUST_635_PI426227498	222783115_EZ011784.1_27-203												
CUST_15_PI426265159	222548433_EZ004346.1_108-227												
CUST_1099_PI426227498	222790172_EZ018566.1_59-406												
CUST_355_PI426266615	MGID_94_153_187												
CUST_694_PI426227498	222783825_EZ012485.1_313-1392												
CUST_43_PI426226978	222781510_EZ010181.1_31-889												
CUST_135_PI426227498	222546156_EZ002346.1_355-779												
CUST_323_PI426227498	222778915_EZ007586.1_165-305												
CUST_6_PI426267032	133856041_EF133953.1_75-686												
CUST_1360_PI426227498	222800917_EZ029305.1_271-603												
CUST_138_PI426266615	AY149139_241_275												
CUST_10_PI426266615	AB086828_381_415												
CUST_10_PI426266363	222779537_EZ008208.1_446-562												
CUST_282_PI426227486	222784581_EZ013227.1_56-529												
CUST_36_PI426266363	222784240_EZ012898.1_1318-1431												
CUST_1162_PI426227498	222791570_EZ019958.1_504-608												
CUST_121_PI426264540	222546358_EZ002548.1_79-489												
CUST_39_PI426264530	222780605_EZ009276.1_50-178												
CUST_6_PI426227887	222548498_EZ004411.1_28-153												
CUST_209_PI426227486	222783290_EZ011957.1_100-1292												
CUST_132_PI426226868	222801388_EZ029776.1_114-1322												
CUST_36_PI426226868	222785221_EZ013855.1_220-447												
CUST_350_PI426227486	222786690_EZ015162.1_59-1033												
CUST_305_PI426266615	MGID_30_119_153												
CUST_222_PI426227486	222783343_EZ012008.1_7-458												
CUST_102_PI426266424	222786617_EZ015089.1_1275-1400												
CUST_1318_PI426227498	222799817_EZ028205.1_36-164												
CUST_35_PI426266366	222785330_EZ013964.1_27-212												
CUST_55_PI426244589	222794710_EZ023098.1_17-1640												
CUST_42_PI426266274	222781550_EZ010221.1_1502-1609												
CUST_23_PI426244597	222782231_EZ010902.1_2-328												
CUST_10_PI426227492	222787982_EZ016454.1_1-2115												
